title,score,comment,quote,year,country,category,link,cover
血战钢锯岭,8.7,599047,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,2016,美国 澳大利亚,剧情 传记 历史 战争,https://movie.douban.com/subject/26325320/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2398141939.jpg
教父3,8.9,257300,任何信念的力量，都无法改变命运。,1990,美国,剧情 犯罪,https://movie.douban.com/subject/1294240/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2169664351.jpg
时空恋旅人,8.7,411672,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,2013,英国,喜剧 爱情 奇幻,https://movie.douban.com/subject/10577869/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2070153774.jpg
风之谷,8.9,288032,动画片的圣经。,1984,日本,动画 奇幻 冒险,https://movie.douban.com/subject/1291585/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1917567652.jpg
哈利·波特与阿兹卡班的囚徒,8.7,426840,不一样的导演，不一样的哈利·波特。,2004,英国 美国,奇幻 冒险,https://movie.douban.com/subject/1291544/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910812549.jpg
釜山行,8.5,854651,揭露人性的丧尸题材力作。,2016,韩国,动作 惊悚 灾难,https://movie.douban.com/subject/25986180/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2360940399.jpg
电锯惊魂,8.7,375424,真相就在眼前。,2004,美国,悬疑 惊悚 恐怖,https://movie.douban.com/subject/1417598/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2565332644.jpg
哪吒闹海,9.1,183456,想你时你在闹海。,1979,中国大陆,冒险 动画 奇幻,https://movie.douban.com/subject/1307315/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2516566783.jpg
上帝之城,8.9,236135,被上帝抛弃了的上帝之城。,2002,巴西 法国,犯罪 剧情,https://movie.douban.com/subject/1292208/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p455677490.jpg
被解救的姜戈,8.7,452224,热血沸腾，那个低俗、性感的无耻混蛋又来了。,2012,美国,剧情 动作 西部 冒险,https://movie.douban.com/subject/6307447/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1959232369.jpg
喜宴,8.9,248450,中国家庭的喜怒哀乐忍。,1993,中国台湾 美国,剧情 喜剧 爱情 同性 家庭,https://movie.douban.com/subject/1303037/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2173713676.jpg
七武士,9.2,139697,时代悲歌。,1954,日本,动作 冒险 剧情,https://movie.douban.com/subject/1295399/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2215886505.jpg
英雄本色,8.7,375235,英雄泪短，兄弟情长。 ,1986,中国香港,剧情 动作 犯罪,https://movie.douban.com/subject/1297574/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2504997087.jpg
我是山姆,8.9,226322,爱并不需要智商 。,2001,美国,剧情 家庭,https://movie.douban.com/subject/1306861/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p652417775.jpg
谍影重重3,8.8,319170,像吃了苏打饼一样干脆的电影。,2007,美国 德国,动作 悬疑 惊悚,https://movie.douban.com/subject/1578507/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792223507.jpg
岁月神偷,8.7,470275,岁月流逝，来日可追。,2010,中国香港 中国大陆,剧情 家庭,https://movie.douban.com/subject/3792799/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p659427316.jpg
头号玩家,8.6,1048972,写给影迷，动漫迷和游戏迷的一封情书。,2018,美国,动作 科幻 冒险,https://movie.douban.com/subject/4920389/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2516578307.jpg
一个叫欧维的男人决定去死,8.8,287820,惠及一生的美丽。,2015,瑞典,剧情,https://movie.douban.com/subject/26628357/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2406624993.jpg
纵横四海,8.8,301537,香港浪漫主义警匪动作片的巅峰之作。,1991,中国香港,剧情 喜剧 动作 犯罪,https://movie.douban.com/subject/1295409/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2597918718.jpg
哈利·波特与密室,8.7,447825,魔法的密室之门已打开...,2002,美国 英国 德国,奇幻 冒险,https://movie.douban.com/subject/1296996/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1082651990.jpg
三块广告牌,8.7,624709,怼天怼地，你走后，她与世界为敌。,2017,美国 英国,剧情 犯罪,https://movie.douban.com/subject/26611804/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2510081688.jpg
疯狂原始人,8.7,640105,老少皆宜，这就是好莱坞动画的魅力。,2013,美国,喜剧 动画 冒险,https://movie.douban.com/subject/1907966/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1867084027.jpg
心迷宫,8.7,365640,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,2014,中国大陆,剧情 犯罪 悬疑,https://movie.douban.com/subject/25917973/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2276780256.jpg
达拉斯买家俱乐部,8.8,334962,Jared Leto的腿比女人还美！,2013,美国,剧情 传记 同性,https://movie.douban.com/subject/1793929/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2166160837.jpg
卢旺达饭店,8.9,221302,当这个世界闭上双眼，他却敞开了怀抱。,2004,英国 南非 意大利,剧情 传记 历史 战争,https://movie.douban.com/subject/1291822/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p470419493.jpg
你的名字。,8.4,1030014,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,2016,日本,剧情 爱情 动画,https://movie.douban.com/subject/26683290/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2395733377.jpg
花样年华,8.7,424576,偷情本没有这样美。,2000,中国香港,剧情 爱情,https://movie.douban.com/subject/1291557/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1910828286.jpg
记忆碎片,8.6,457367,一个针管引发的血案。,2000,美国,犯罪 剧情 悬疑 惊悚,https://movie.douban.com/subject/1304447/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p641688453.jpg
萤火虫之墓,8.7,329511,幸福是生生不息，却难以触及的远。 ,1988,日本,动画 剧情 战争,https://movie.douban.com/subject/1293318/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1157334208.jpg
荒蛮故事,8.8,311888,始于荒诞，止于更荒诞。,2014,阿根廷 西班牙,剧情 喜剧 犯罪,https://movie.douban.com/subject/24750126/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2584519452.jpg
贫民窟的百万富翁,8.6,585968,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,2008,英国,剧情 爱情,https://movie.douban.com/subject/2209573/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2434249040.jpg
东邪西毒,8.6,449011,电影诗。,1994,中国香港 中国台湾,剧情 动作 爱情 武侠 古装,https://movie.douban.com/subject/1292328/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1982176012.jpg
真爱至上,8.6,538029,爱，是个动词。,2003,英国 美国 法国,喜剧 剧情 爱情,https://movie.douban.com/subject/1292401/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p475600770.jpg
爆裂鼓手,8.7,414902,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,2014,美国,剧情 音乐,https://movie.douban.com/subject/25773932/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2220776342.jpg
黑客帝国3：矩阵革命,8.8,312235,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,2003,美国 澳大利亚,动作 科幻,https://movie.douban.com/subject/1302467/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2220873438.jpg
模仿游戏,8.7,450308,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,2014,英国 美国,剧情 传记 战争 同性,https://movie.douban.com/subject/10463953/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2255040492.jpg
忠犬八公物语,9.2,138074,养狗三日，便会对你终其一生。,1987,日本,剧情,https://movie.douban.com/subject/1959195/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1576418852.jpg
未麻的部屋,9,200269,好的剧本是，就算你猜到了结局也猜不到全部。,1997,日本,动画 奇幻 惊悚,https://movie.douban.com/subject/1395091/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1351050722.jpg
黑天鹅,8.6,647999,黑暗之美。,2010,美国,剧情 惊悚,https://movie.douban.com/subject/1978709/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2549648344.jpg
头脑特工队,8.7,433412,愿我们都不用长大，每一座城堡都能永远存在。,2015,美国,喜剧 动画 冒险,https://movie.douban.com/subject/10533913/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2266293606.jpg
新世界,8.8,249430,要做就做得狠一点，这样才能活下去。,2013,韩国,剧情 犯罪,https://movie.douban.com/subject/10437779/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1903379979.jpg
海街日记,8.8,297595,是枝裕和的家庭习作。,2015,日本,剧情 家庭,https://movie.douban.com/subject/25895901/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2242546753.jpg
你看起来好像很好吃,8.9,255732,感情不分食草或者食肉。,2010,日本,剧情 动画 儿童,https://movie.douban.com/subject/4848115/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p709670262.jpg
无敌破坏王,8.7,396320,迪士尼和皮克斯拿错剧本的产物。,2012,美国,喜剧 动画 奇幻 冒险,https://movie.douban.com/subject/6534248/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1735642656.jpg
